section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
certification_results,certification_results.peak_cooling_load,Peak Cooling Load,ph_windows,PH Windows,Peak Cooling Load,W/m2,13.065566813,464
certification_results,certification_results.pe_demand,PE Demand,code_min,Code Min,PE Demand,kWh/m2,128.711068673,465
certification_results,certification_results.pe_demand,PE Demand,ph_assemblies,PH Assemblies,PE Demand,kWh/m2,122.257623009,465
certification_results,certification_results.pe_demand,PE Demand,airtightness_erv,Airtightness + ERV,PE Demand,kWh/m2,99.5997615033,465
certification_results,certification_results.pe_demand,PE Demand,ph_windows,PH Windows,PE Demand,kWh/m2,81.8692750816,465
certification_results,certification_results.per_demand,PER Demand,code_min,Code Min,PER Demand,kWh/m2,61.219807926,466
certification_results,certification_results.per_demand,PER Demand,ph_assemblies,PH Assemblies,PER Demand,kWh/m2,58.0200228486,466
certification_results,certification_results.per_demand,PER Demand,airtightness_erv,Airtightness + ERV,PER Demand,kWh/m2,46.7750999942,466
certification_results,certification_results.per_demand,PER Demand,ph_windows,PH Windows,PER Demand,kWh/m2,37.977820783,466
airtightness,airtightness.nv_system,"nV,system",code_min,Code Min,nV system,%,0.405462573368,470
airtightness,airtightness.nv_system,"nV,system",ph_assemblies,PH Assemblies,nV system,%,0.405462573368,470
airtightness,airtightness.nv_system,"nV,system",airtightness_erv,Airtightness + ERV,nV system,%,0.42221722516,470
airtightness,airtightness.nv_system,"nV,system",ph_windows,PH Windows,nV system,%,0.42221722516,470
airtightness,airtightness.hhr,hHR,code_min,Code Min,hHR,%,0,471
airtightness,airtightness.hhr,hHR,ph_assemblies,PH Assemblies,hHR,%,0,471
airtightness,airtightness.hhr,hHR,airtightness_erv,Airtightness + ERV,hHR,%,0.770010434061,471
airtightness,airtightness.hhr,hHR,ph_windows,PH Windows,hHR,%,0.770010434061,471
airtightness,airtightness.wind_protection_coefficient_e,"Wind protection coefficient, e",code_min,Code Min,Wind protection coefficient  e,,0.07,472
airtightness,airtightness.wind_protection_coefficient_e,"Wind protection coefficient, e",ph_assemblies,PH Assemblies,Wind protection coefficient  e,,0.07,472
airtightness,airtightness.wind_protection_coefficient_e,"Wind protection coefficient, e",airtightness_erv,Airtightness + ERV,Wind protection coefficient  e,,0.07,472
airtightness,airtightness.wind_protection_coefficient_e,"Wind protection coefficient, e",ph_windows,PH Windows,Wind protection coefficient  e,,0.07,472
airtightness,airtightness.wind_protection_coefficient_f,"Wind protection coefficient, f",code_min,Code Min,Wind protection coefficient  f,,15,473
airtightness,airtightness.wind_protection_coefficient_f,"Wind protection coefficient, f",ph_assemblies,PH Assemblies,Wind protection coefficient  f,,15,473
airtightness,airtightness.wind_protection_coefficient_f,"Wind protection coefficient, f",airtightness_erv,Airtightness + ERV,Wind protection coefficient  f,,15,473
airtightness,airtightness.wind_protection_coefficient_f,"Wind protection coefficient, f",ph_windows,PH Windows,Wind protection coefficient  f,,15,473
airtightness,airtightness.vn50,Vn50,code_min,Code Min,Vn50,m3,1107.62797403,474
airtightness,airtightness.vn50,Vn50,ph_assemblies,PH Assemblies,Vn50,m3,1107.62797403,474
airtightness,airtightness.vn50,Vn50,airtightness_erv,Airtightness + ERV,Vn50,m3,1107.62797403,474
airtightness,airtightness.vn50,Vn50,ph_windows,PH Windows,Vn50,m3,1107.62797403,474
airtightness,airtightness.vv,VV,code_min,Code Min,VV,m3,917.158223124,475
airtightness,airtightness.vv,VV,ph_assemblies,PH Assemblies,VV,m3,917.158223124,475
airtightness,airtightness.vv,VV,airtightness_erv,Airtightness + ERV,VV,m3,917.158223124,475
airtightness,airtightness.vv,VV,ph_windows,PH Windows,VV,m3,917.158223124,475
airtightness,airtightness.gt,Gt,code_min,Code Min,Gt,kFh/a,73.3155986343,476
airtightness,airtightness.gt,Gt,ph_assemblies,PH Assemblies,Gt,kFh/a,73.1216231095,476
airtightness,airtightness.gt,Gt,airtightness_erv,Airtightness + ERV,Gt,kFh/a,73.7884314489,476
airtightness,airtightness.gt,Gt,ph_windows,PH Windows,Gt,kFh/a,71.4937396282,476
r_values,r_values.assembly_02,02ud-Ground_Wall,code_min,Code Min,02ud-Ground_Wall,m2,#DIV/0!,481
r_values,r_values.assembly_02,02ud-Ground_Wall,ph_assemblies,PH Assemblies,02ud-Ground_Wall,m2,#DIV/0!,481
r_values,r_values.assembly_02,02ud-Ground_Wall,airtightness_erv,Airtightness + ERV,02ud-Ground_Wall,m2,#DIV/0!,481
r_values,r_values.assembly_02,02ud-Ground_Wall,ph_windows,PH Windows,02ud-Ground_Wall,m2,#DIV/0!,481
r_values,r_values.assembly_03,03ud-Generic Interior Wall,code_min,Code Min,03ud-Generic Interior Wall,m2,#DIV/0!,482
r_values,r_values.assembly_03,03ud-Generic Interior Wall,ph_assemblies,PH Assemblies,03ud-Generic Interior Wall,m2,#DIV/0!,482
r_values,r_values.assembly_03,03ud-Generic Interior Wall,airtightness_erv,Airtightness + ERV,03ud-Generic Interior Wall,m2,#DIV/0!,482
r_values,r_values.assembly_03,03ud-Generic Interior Wall,ph_windows,PH Windows,03ud-Generic Interior Wall,m2,#DIV/0!,482
r_values,r_values.assembly_04,04ud-Ground_Floor,code_min,Code Min,04ud-Ground_Floor,m2,#DIV/0!,483
r_values,r_values.assembly_04,04ud-Ground_Floor,ph_assemblies,PH Assemblies,04ud-Ground_Floor,m2,#DIV/0!,483
r_values,r_values.assembly_04,04ud-Ground_Floor,airtightness_erv,Airtightness + ERV,04ud-Ground_Floor,m2,#DIV/0!,483
r_values,r_values.assembly_04,04ud-Ground_Floor,ph_windows,PH Windows,04ud-Ground_Floor,m2,#DIV/0!,483
r_values,r_values.assembly_06,06ud-Ground_Roof,code_min,Code Min,06ud-Ground_Roof,m2,#DIV/0!,485
